Profile: Function timing, sorted by time
Date:    Sun Jul 28 12:57:49 2002


Programmstatistik
-----------------
    2002 Jul 28 12:30 Befehlszeile: "C:\code\GePhex\bin\engine2"  
    Gesamtzeit: 257620,194 Millisekunden
    Zeit ausserhalb von Funktionen: 102,732 Millisekunden
    Aufruftiefe: 30
    Gesamtfunktionen: 4619
    Gesamtaufrufe: 55996062
    Funktionsabdeckung: 65,3%
    Berechneter Verwaltungsaufwand: 6
    Durchschnittlicher Aufwand: 6

Modulstatistik fuer engine2.exe
-------------------------------
    Zeit innerhalb des Moduls: 257517,462 Millisekunden
    100,0% Prozent im Modul
    4619 Funktionen im Modul
    Aufrufe im Modul: 55996062 
    Modulfunktionsabdeckung: 65,3%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
    1186,692   0,5     4780,993   1,9   374219 utils::AutoPtr<class IInput>::~AutoPtr<class IInput>(void) (c_module.obj)
    1184,326   0,5    15084,230   5,9   103811 std::list<class IInput *,class std::allocator<class IInput *> >::erase(class std::list<class IInput *,class std::allocator<class IInput *> >::iterator,class std::list<class IInput *,class std::allocator<class IInput *> >::iterator) (c_output.obj)
    1172,305   0,5     3339,974   1,3    94491 std::basic_istream<char,struct std::char_traits<char> >::ipfx(bool) (main.obj)
    1133,264   0,4     5758,756   2,2    83153 std::basic_istream<char,struct std::char_traits<char> >::get(void) (string_.obj)
    1118,522   0,4     4850,941   1,9   262262 std::list<class IInput *,class std::allocator<class IInput *> >::_Freenode(struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *) (c_output.obj)
    1088,723   0,4     1088,723   0,4   447848 std::list<int,class std::allocator<int> >::const_iterator::operator==(class std::list<int,class std::allocator<int> >::const_iterator const &) (model.obj)
    1080,150   0,4     2292,023   0,9   163914 std::list<class IInput *,class std::allocator<class IInput *> >::begin(void) (c_output.obj)
    1061,758   0,4     5122,690   2,0    43708 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::erase(class std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::iterator) (runtimesystem.obj)
    1052,299   0,4     1052,299   0,4     3335 std::_Fputc(char,struct _iobuf *) (main.obj)
    1049,265   0,4     2338,160   0,9    98510 std::basic_streambuf<char,struct std::char_traits<char> >::sbumpc(void) (main.obj)
    1045,949   0,4     4427,808   1,7   197342 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Grow(unsigned int,bool) (main.obj)
